If;you;think;it's;funny;Fråga 1: Vad heter medlemmarna i ABBA? 1 poäng per medlem;Rätt svar: Björn Ulvaeus, Agnetha Fältskog, Benny Andersson, Anni-Frid "Frida" Lyngstad;Does Your Mother Know - Abba
And;floating;around;in;ecstasy;Fråga 2: Sångaren i Queen är känd som Freddie Mercury, men vad heter han på riktigt?;Rätt svar: Farrokh Bulsara;Don't Stop Me Now - Queen
She's;there;watching;for;me;Fråga 3: "Beyond the Sea" är en engelsk version av en fransk låt. Vad heter den franska versonen?;Rätt svar: La Mer;Beyond the Sea - Jack Lawrence/Charles Trenet
Beating;up;the;wrong;guy;Fråga 4: Mars är den fjärde planeten i vårt solsystem. Hur många månar har Mars? Laget får 3 extra bonuspoäng per korrekt namn av Mars månar;Rätt svar: Mars har två månar, Phobos och Deimos,;Life on Mars - David Bowie
Fighting;off;the;Viet;Cong;Fråga 5: Bruce Springsteen sjunger om att han är född i USA, men i vilken stat föddes han?;Rätt svar: New Jersey;Born in the USA - Bruce Springsteen
Just;a;small;town;girl;Fråga 6: Don't Stop Believin' kom ut på Journeys sjunde album. Vad heter albumet och när släppdes det? 1 poäng per fråga;Rätt svar: Albumet heter Escape och släppdes 1981;Don't Stop Believin' - Journey
Om;du;vill;leka;tafatt;Fråga 7: "Var ska vi sova i natt" är från början en cover på en låt från gruppen Ricchi e Poveris. Var kommer denna gruppen ifrån?;Rätt svar: Italien;Var ska vi sova i natt - Perikles
De;går;med;vindens;fart;Fråga 8: Tomas sjunger att hösten kommer snart. Men när går sommaren över till höst egentligen?;Rätt svar: SMHI definierar att den meteorologisk hösten infaller när dygnsmedeltemperaturen är sjunkande och i fem dygn i följd är lägre än 10 grader. Då infaller hösten den första av dessa dygn;Sommaren är kort - Tomas Ledin
Trade;your;passion;for;glory;Fråga 9: "Eye of the tiger" är känd från en Rocky film. Vilken?;Rätt svar: Rocky III;Eye of the Tiger - Surviver
Then;one;night;in;desperation;Fråga 10: Elvis Presleys dotter föddes inte i ett Ghetto. Vad heter hon?;Rätt svar: Lisa Marie Presley;In the Ghetto - Elvis Presley
Under;bar;himmel;seglar;jag;Fråga 11: Vilken reklam förknippas denna låten med?;Rätt svar: Pripps blå;Vågorna - Uno Svenningsson
Blixtar;och;dunder,;magiska;under;Fråga 12: Diggi-loo diggi-ley har vunnit Eurovision Song Contest. Vilket år och i vilken land hölls Eurovision Song Contest då låten vann? 1 poäng per fråga;Rätt svar: 1984 i Luxenbourg;Diggi loo diggi ley - Herreys
I'm;crazy;like;a;fool;Fråga 13: Vad heter gruppen som skrivit låten och var kommer dom ifrån? 1 poäng per fråga;Rättsvar: Boney M från Tyskland;Daddy Cool - ?
Ain't;no;use;in;complainin';Fråga 14: Vilket land kommer Bryan Adams ifrån?;Rättsvar: Kanada;Summer of 69 - Bryan Adams
En;chans;att;andas;in;Fråga 15: Vad heter medlemarna i Gyllene tider? 1 poäng per medlem;Rätt svar: Per Gessle, Mats Persson, Anders Herrlin, Göran Fritzon, Micke "Syd" Andersson;Gå och fiska - Gyllene tider
Och;jag;sviker;aldrig;dig;Fråga 16: Genom eld och vatten spelades för första gången på melodifestivalen 2003. Vad heter låten som Sarek tävlad med i melodifestivalen 2004?;Rätt svar: Älvorna;Genom eld och vatten - Sarek
Sedan;spelar;vi;en;Schlageromgång;Fråga 17: Hur många barn har Magnus Uggla och vad heter dom? 1 poäng per barn;Rätt svar: Agnes, Ruben och Emelie;Efterfest - Magnus Uggla
If;you'll;be;my;bodyguard;Fråga 18: Paul Simon har varit medlem i en välkänd sångar duo, vilken?;Rätt svar: Simon and Garfunkel;You can call me al - Paul Simon
Im;hooked;on;a;feeling;Fråga 19: Hur många gåner har Björn Skifs deltagit i melodifestivalen och hur många gånger har han vunnit? 1 poäng per rätt svar;Rätt svar: Deltagit 4 gånger och vunnit 2;Hooked on a feeling - Björn Skifs
Till;alla;er;som;trott;Fråga 20: Fotbolls VM 94 kom sverige på tredje plats. Vem mötte vi i bronsmatchen?;Rätt svar: Bulgarien;När vi gräver guld i USA - GES
